"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,32,TRUE,TRUE,0.0216555617518069,0.0203188284552366,0.0226899042105117,0.0206406774201712,-0.338172297807277,-0.339040136164377,0.0114122000425025,0.0186120271140917,0.0588853659847974,0.058402365405635,0.278999999999996,1.11
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,33,TRUE,TRUE,0.00852476056985864,0.0204492180254923,0.00823427659432439,0.0209336441941771,-0.0917044176659237,-0.0925329695744587,0.00083644367338689,0.00359503060322239,0.0319416014829481,0.0319272513921912,0.264999999999986,1.22500000000001
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,34,TRUE,TRUE,0.0468967983356212,0.0200715455977446,0.0487214457749158,0.0203926639564879,-0.306353729454763,-0.30847757265315,-0.000499938550689904,0.0116523885399731,0.0430373793125536,0.0429966424609266,0.314000000000007,1.443
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,35,TRUE,TRUE,-0.00249798475740156,0.0217248331699395,-0.000941435157621062,0.0220900853845384,-0.0771493559121,-0.0770496592741507,-0.000969065444946817,-0.00125749033765681,0.0461482779386473,0.0461548191867312,0.276999999999987,1.146
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,36,TRUE,TRUE,0.042252191968672,0.0197791439946043,0.0445430851243477,0.0203760136781749,-0.0912578899781823,-0.0922287656390153,0.0235818219898085,0.0371791222235782,0.0438037371511199,0.0440222326654032,0.214999999999989,1.154
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,37,TRUE,TRUE,0.040570097747668,0.0191980496456151,0.0403953909417402,0.0195647033803558,-0.140046944687844,-0.145288081103202,0.0210446124837954,0.0336914599579724,0.0501589818798734,0.0505595985075685,0.260999999999996,1.137
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,38,TRUE,TRUE,-0.0216303211914523,0.0294771459231151,-0.0258329440193865,0.0299465141247718,-0.154712137184916,-0.15523715955364,0.0998450012876056,0.0967077403217984,0.0523040135308733,0.052101876732879,0.376999999999995,1.482
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,39,TRUE,TRUE,0.018049874018137,0.0206630501929481,0.018643318025011,0.0212376009171942,-0.0154816036111689,-0.0172221259025493,0.00414876468323241,0.0102798881683899,0.0442689049919771,0.0442726141241052,0.259999999999991,1.34299999999999
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,40,TRUE,TRUE,0.0162082791341445,0.0212732173202076,0.0170934182762603,0.0214654531465168,-0.293798198819948,-0.295246700277682,0.0682068446787155,0.0715202674401429,0.0610706241446542,0.0611105968630832,0.36099999999999,1.479
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,1,TRUE,TRUE,0.0350907179128653,0.0213362276422181,0.03631530499905,0.022359298707771,-0.131193192675385,-0.147883122422853,-0.0735847207959409,-0.0201120866926547,0.538774182839904,0.531845222687776,0.289999999999992,1.28800000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,2,TRUE,TRUE,0.0276900732652448,0.0203346016522263,0.0346283059680446,0.0219348974617725,-0.40268442264089,-0.408753729532704,0.0958148340003606,0.131752041126902,0.408445640813339,0.404427641862873,0.227000000000004,1.053
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,3,TRUE,TRUE,0.0357186066027687,0.0192034107662738,0.0376113617710404,0.0211878902392738,-0.159672472504274,-0.164600626007572,0.0729079407132184,0.116686687546216,0.476874517084218,0.482008849139949,0.277000000000001,1.414
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,4,TRUE,TRUE,0.0249841355819452,0.0180124799975413,0.0337685892175851,0.0198406001419334,-0.169039722702638,-0.171000135757172,0.0205041046573885,0.0688245576395578,0.434621099812156,0.427393424230203,0.217999999999989,1.01000000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,5,TRUE,TRUE,0.0397433297147993,0.020410284458756,0.042212558177342,0.0220357162677989,-0.232027134089278,-0.24457029914618,0.0092757767278591,0.0462929287040134,0.481943638390948,0.480830989740132,0.362000000000009,1.479
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,6,TRUE,TRUE,0.0139124659323545,0.0192984863266101,0.0156664276046773,0.0207323282833175,-0.173458010543626,-0.174920504485258,-0.0136215563421798,0.00117169448457057,0.454627826782514,0.45599580396364,0.307000000000002,1.238
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,7,TRUE,TRUE,0.0905699008417881,0.0285148605491393,0.0938787384709424,0.0334926047282054,-0.245635641490447,-0.285009667078143,-0.0180982799595984,0.0836165022551562,0.495620933258355,0.481877064374119,0.230999999999995,1.099
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,8,TRUE,TRUE,0.0260788503190077,0.0202917287142634,0.0369001622608613,0.022288791550846,-0.342596826476523,-0.326450639754398,-0.0161624557292197,0.00652943969619835,0.444786608521571,0.444060576615522,0.288999999999987,1.242
